1: epsilon=0.1, alpha=1e-05, gamma=0.2: avg_reward=-0.4114850000000008
2: epsilon=0.1, alpha=1e-05, gamma=0.4: avg_reward=-0.5119349999999931
3: epsilon=0.1, alpha=1e-05, gamma=0.6: avg_reward=-0.4882749999999997
4: epsilon=0.1, alpha=1e-05, gamma=0.8: avg_reward=-0.5050349999999965
5: epsilon=0.1, alpha=0.0001, gamma=0.2: avg_reward=-0.4505099999999985
6: epsilon=0.1, alpha=0.0001, gamma=0.4: avg_reward=-0.45895000000000075
7: epsilon=0.1, alpha=0.0001, gamma=0.6: avg_reward=-0.4130499999999984
8: epsilon=0.1, alpha=0.0001, gamma=0.8: avg_reward=-0.5328700000000037
9: epsilon=0.1, alpha=0.001, gamma=0.2: avg_reward=-0.2948049999999955
10: epsilon=0.1, alpha=0.001, gamma=0.4: avg_reward=-0.3113650000000048
11: epsilon=0.1, alpha=0.001, gamma=0.6: avg_reward=-0.30561500000000297
12: epsilon=0.1, alpha=0.001, gamma=0.8: avg_reward=-0.3025799999999996
13: epsilon=0.1, alpha=0.01, gamma=0.2: avg_reward=-0.14236000000000254
14: epsilon=0.1, alpha=0.01, gamma=0.4: avg_reward=-0.15163999999999944
15: epsilon=0.1, alpha=0.01, gamma=0.6: avg_reward=-0.18301499999999957
16: epsilon=0.1, alpha=0.01, gamma=0.8: avg_reward=-0.20541499999999863
17: epsilon=0.2, alpha=1e-05, gamma=0.2: avg_reward=-0.5193049999999908
18: epsilon=0.2, alpha=1e-05, gamma=0.4: avg_reward=-0.43306500000000175
19: epsilon=0.2, alpha=1e-05, gamma=0.6: avg_reward=-0.49078
20: epsilon=0.2, alpha=1e-05, gamma=0.8: avg_reward=-0.4782049999999997
21: epsilon=0.2, alpha=0.0001, gamma=0.2: avg_reward=-0.43773499999999993
22: epsilon=0.2, alpha=0.0001, gamma=0.4: avg_reward=-0.4175200000000004
23: epsilon=0.2, alpha=0.0001, gamma=0.6: avg_reward=-0.3668800000000003
24: epsilon=0.2, alpha=0.0001, gamma=0.8: avg_reward=-0.3696650000000003
25: epsilon=0.2, alpha=0.001, gamma=0.2: avg_reward=-0.31411000000000333
26: epsilon=0.2, alpha=0.001, gamma=0.4: avg_reward=-0.30743499999999646
27: epsilon=0.2, alpha=0.001, gamma=0.6: avg_reward=-0.3415450000000025
28: epsilon=0.2, alpha=0.001, gamma=0.8: avg_reward=-0.31308500000000045
29: epsilon=0.2, alpha=0.01, gamma=0.2: avg_reward=-0.15558000000000052
30: epsilon=0.2, alpha=0.01, gamma=0.4: avg_reward=-0.17442000000000007
31: epsilon=0.2, alpha=0.01, gamma=0.6: avg_reward=-0.19611500000000134
32: epsilon=0.2, alpha=0.01, gamma=0.8: avg_reward=-0.2097049999999995
33: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.2: avg_reward=-0.4441050000000016
34: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.4: avg_reward=-0.4463800000000002
35: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.6: avg_reward=-0.4363150000000017
36: epsilon=0.30000000000000004, alpha=1e-05, gamma=0.8: avg_reward=-0.474845
37: epsilon=0.30000000000000004, alpha=0.0001, gamma=0.2: avg_reward=-0.4680349999999996
38: epsilon=0.30000000000000004, alpha=0.0001, gamma=0.4: avg_reward=-0.47224
39: epsilon=0.30000000000000004, alpha=0.0001, gamma=0.6: avg_reward=-0.4105600000000004
40: epsilon=0.30000000000000004, alpha=0.0001, gamma=0.8: avg_reward=-0.40378499999999995
41: epsilon=0.30000000000000004, alpha=0.001, gamma=0.2: avg_reward=-0.3188049999999992
42: epsilon=0.30000000000000004, alpha=0.001, gamma=0.4: avg_reward=-0.32208000000000103
